readers;writers;time (ms)
0;100;165
1;99;169
2;98;166
3;97;167
4;96;172
5;95;172
6;94;171
7;93;170
8;92;171
9;91;171
10;90;167
11;89;175
12;88;175
13;87;174
14;86;173
15;85;177
16;84;175
17;83;174
18;82;177
19;81;175
20;80;173
21;79;176
22;78;175
23;77;175
24;76;175
25;75;173
26;74;176
27;73;176
28;72;175
29;71;169
30;70;160
31;69;161
32;68;166
33;67;158
34;66;153
35;65;154
36;64;153
37;63;154
38;62;151
39;61;154
40;60;154
41;59;158
42;58;159
43;57;154
44;56;157
45;55;157
46;54;157
47;53;152
48;52;150
49;51;153
50;50;148
51;49;147
52;48;149
53;47;150
54;46;148
55;45;151
56;44;151
57;43;151
58;42;151
59;41;148
60;40;149
61;39;148
62;38;147
63;37;154
64;36;147
65;35;151
66;34;152
67;33;151
68;32;148
69;31;148
70;30;151
71;29;151
72;28;153
73;27;152
74;26;151
75;25;151
76;24;154
77;23;151
78;22;152
79;21;151
80;20;152
81;19;151
82;18;151
83;17;149
84;16;151
85;15;150
86;14;152
87;13;153
88;12;151
89;11;151
90;10;151
91;9;148
92;8;151
93;7;151
94;6;150
95;5;152
96;4;154
97;3;153
98;2;149
99;1;151
100;0;154
