readers;writers;time (ms)
0;100;149
1;99;167
2;98;148
3;97;146
4;96;143
5;95;146
6;94;156
7;93;160
8;92;160
9;91;158
10;90;148
11;89;147
12;88;141
13;87;131
14;86;130
15;85;128
16;84;134
17;83;126
18;82;127
19;81;136
20;80;135
21;79;137
22;78;138
23;77;136
24;76;135
25;75;131
26;74;131
27;73;129
28;72;127
29;71;127
30;70;119
31;69;117
32;68;106
33;67;103
34;66;102
35;65;103
36;64;99
37;63;98
38;62;97
39;61;96
40;60;92
41;59;92
42;58;94
43;57;92
44;56;91
45;55;87
46;54;89
47;53;86
48;52;84
49;51;83
50;50;80
51;49;79
52;48;78
53;47;76
54;46;77
55;45;72
56;44;73
57;43;73
58;42;69
59;41;67
60;40;67
61;39;66
62;38;64
63;37;63
64;36;61
65;35;59
66;34;58
67;33;58
68;32;55
69;31;54
70;30;54
71;29;52
72;28;53
73;27;49
74;26;48
75;25;47
76;24;45
77;23;43
78;22;42
79;21;41
80;20;39
81;19;37
82;18;36
83;17;36
84;16;34
85;15;31
86;14;29
87;13;27
88;12;26
89;11;24
90;10;24
91;9;24
92;8;22
93;7;21
94;6;20
95;5;19
96;4;18
97;3;16
98;2;15
99;1;13
100;0;12
